Instancias;f;c;t;alfa;mejor
random-1;1.2420749279538905;15;0.14300823211669922;0.5;No
random-4;1.465;27;5.761329412460327;0.5;No
random-5;1.4591754244139046;32;3.4071948528289795;0.5;No
random-6;0.9672131147540983;18;0.2590146064758301;0.5;No
random-8;0.9228630993745657;23;1.9691126346588135;0.75;No
random-10;1.0688427299703265;30;2.5841479301452637;0.4816757315593563;No
market-1;2.1429061588608684;8;0.25501465797424316;0.011055348551232469;Si
market-2;1.3260350731555461;8;0.3060171604156494;0.5;Si
market-5;2.8115777525539163;8;0.38802218437194824;0.20529873763273188;Si
wind-2005;90391.75;4;0.016000747680664062;0.5;No
wind-2006;90034.2;5;0.052002906799316406;0.5;No
brock200-2;0.5454545454545454;12;0.824047327041626;0.75;Si
football;0.5263157894736842;10;0.1650090217590332;0.75;Si
johnson16-2-4;0.5555555555555556;10;0.4110231399536133;0.5;Si
karate;0.5454545454545454;6;0.010000228881835938;0.25;No
keller4;0.5416666666666666;13;0.5060286521911621;0.5;Si
c-fat500-10;1.0080160320641283;126;98.44963097572327;0.25;Si
email;1.4532179556517035;12;0.004000186920166016;0.09812008263559502;No
jazz;0.8886428345460298;30;0.0630035400390625;0.5;No
p-hat1000-1;2.075268817204301;10;0.6540372371673584;0.3495945647506288;Si
polbooks;2.975;6;0.004000425338745117;0.5;No
sanr400-0-7;2.046855213170114;18;3.103177547454834;0.5;No